City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Butaritari,3.0707,172.7902,81.19,79,71,15.17,KI,2022-10-07 04:46:08
223,Galesburg,40.9478,-90.3712,51.78,80,0,6.91,US,2022-10-07 04:46:09
224,Sibolga,1.7427,98.7792,79.39,78,100,2.64,ID,2022-10-07 04:46:09
225,Itarema,-2.9248,-39.9167,77.58,82,9,13.31,BR,2022-10-07 04:46:10
226,Constantine,36.365,6.6147,58.41,94,0,2.3,DZ,2022-10-07 04:46:10
227,Varna,43.2167,27.9167,56.88,85,0,6.91,BG,2022-10-07 04:46:11
228,Togul,53.465,85.9128,44.62,70,82,7.87,RU,2022-10-07 04:46:11
229,Chilca,-12.5211,-76.7372,59.58,86,78,2.86,PE,2022-10-07 04:46:12
230,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,44.01,49,13,10.89,RU,2022-10-07 04:46:12
231,Kemijarvi,66.7131,27.4306,39.0,90,50,10.58,FI,2022-10-07 04:46:13
232,Saint-Joseph,-21.3667,55.6167,75.58,67,15,12.84,RE,2022-10-07 04:46:13
233,Saint-Pierre,-21.3393,55.4781,76.68,53,0,9.22,RE,2022-10-07 04:46:14
234,Pochutla,15.7432,-96.4661,75.81,88,23,3.96,MX,2022-10-07 04:46:14
235,Aras,42.5617,-2.356,50.41,87,0,2.3,ES,2022-10-07 04:46:15
236,Grand Gaube,-20.0064,57.6608,75.38,62,14,8.01,MU,2022-10-07 04:46:15
237,Waspan,14.7419,-83.9717,73.06,99,73,3.71,NI,2022-10-07 04:46:16
238,Kuah,6.3265,99.8432,78.78,94,20,5.75,MY,2022-10-07 04:46:16
239,Esperance,-33.8667,121.9,58.1,53,90,8.63,AU,2022-10-07 04:43:18
240,Primorsk,46.7348,36.3443,57.29,57,14,2.64,UA,2022-10-07 04:46:17
241,Sassandra,4.95,-6.0833,73.67,94,99,4.41,CI,2022-10-07 04:46:17
242,Kavieng,-2.5744,150.7967,85.41,62,92,13.0,PG,2022-10-07 04:46:18
243,Tezu,27.9167,96.1667,77.18,91,99,1.01,IN,2022-10-07 04:46:18
244,Svetlogorsk,52.6333,29.7333,44.69,94,0,6.73,BY,2022-10-07 04:46:18
245,Maragogi,-9.0122,-35.2225,74.23,89,21,3.8,BR,2022-10-07 04:46:19
246,Komsomolskiy,40.4272,71.7189,65.12,29,99,4.61,UZ,2022-10-07 04:46:19
247,Albanel,48.8832,-72.4487,48.34,93,100,8.05,CA,2022-10-07 04:46:20
248,Rio Gallegos,-51.6226,-69.2181,44.65,49,0,8.05,AR,2022-10-07 04:46:20
249,Aykhal,66.0,111.5,23.74,91,100,13.02,RU,2022-10-07 04:46:20
